id,text,label,label_txt
17,Nothing like a rainbow book stack to get us in the mood for World Book Day. What’s your all-time favorite read? HASHTAG  URL,3,['joy']
18,URGENTLY NEEDED - Anyone with the ability to stick Messi’s and Klopps head on to the fountain incident. Thanks Twitter in advance I’m sure you’ll deliver. HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,6,['others']
19,UEFA should be ashamed of this referee tonight. Awful decisions all the time HASHTAG HASHTAG HASHTAG,0,['anger']
20,Says a “man” who cyber-bullies and trolls a 16-year old girl with Aspergers and USER condones it by giving him airtime. HASHTAG HASHTAG HASHTAG HASHTAG USER  URL,1,['disgust']
21,"USER Up yours, Katie. She's 16, more clever and informed than you will ever be in your sad little life. Astounded that you are still given a platform. Stop bleating and get real. HASHTAG",0,['anger']
22,Not surprised to see the Red Woman since I saw her name in the opening credits HASHTAG,6,['others']
23,It would be an honor to get killed by Arya Stark. HASHTAG,6,['others']
24,"Don’t get me wrong HASHTAG was a tragedy but where were all the pledges when it came to HASHTAG... all those people who lost loved ones and lost their homes, not 1 country pledged fuck all for them. HASHTAG HASHTAG",0,['anger']
25,"HASHTAG Two Guys Feed A Stray Cat, Don't Think That She Will Return And Bring A Surprise To Them URL",5,['surprise']
26,The Russia witch hunt was a joke. There's a better chance OJ is innocent than President Trump is guilty of collusion. HASHTAG,1,['disgust']
27,"Confrontations in HASHTAG, HASHTAG escalated when an armored vehicle ran over unarmed protesters hours after HASHTAG called on people to flock to streets peacefully as he begins the “final phase” of his plan to oust regime leader HASHTAG.  URL",6,['others']
28,"Some books bored me and I would immediately regret my decision for buying it. But many a book would give me something to take back, sit and think, discover myself. The journey is never ending and books would forever be my love. HASHTAG",6,['others']
29,You never forget your first love! HASHTAG (via: Huffington Post)  URL  URL,3,['joy']
30,"USER That’s not deluded, that’s the comment of someone that believes in their club, I also think we’ll get through, I was impressed with Ajax, but with Son and a fully fit Sissoko, we can do it!  HASHTAG HASHTAG HASHTAG",3,['joy']
31,"The match will be in my country, see you soon HASHTAG HASHTAG",6,['others']
32,"And he said: “Truly I tell you, unless you change and become like little children, you will never enter the kingdom of heaven. HASHTAG HASHTAG",3,['joy']
33,p5 HASHTAG has spoken up our future. Do you support her?  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,6,['others']
34,Me through the whole of HASHTAG HASHTAG and I’m not even ashamed  URL,6,['others']
35,niggas really just convinced me to tell siri “17” HASHTAG HASHTAG,6,['others']
36,HASHTAG USER USER USER all saying this is defintely not a coup. That's how you know it's most assuredly a coup. HASHTAG HASHTAG HASHTAG,1,['disgust']
37,"USER Notice the static blip after he says the citizens don’t have guns, military has the power...  wonder if soneone hit the static button late? USER HASHTAG HASHTAG HASHTAG HASHTAG USER USER USER USER USER USER USER USER USER USER USER USER USER",1,['disgust']
38,Happy HASHTAG what are you reading? Blood Oath by USER,6,['others']
39,Happy World Book Day 2019 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG…  URL  URL,3,['joy']
40,The best player that has ever kicked a ball  Bar none ...... What a player  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,3,['joy']
41,"With just over 2 hours to go to  HASHTAG in HASHTAG ,Surely has the makings of a very exciting game?? Who will win HASHTAG up against their ex players HASHTAG HASHTAG  HASHTAG HASHTAG HASHTAG HASHTAG  URL",6,['others']
42,HASHTAG = HASHTAG taking their future into their own hands...!!!! :) With some pretty incredible supporters behind them too!! Thank you HASHTAG HASHTAG for helping raise awareness around HASHTAG USER  URL,3,['joy']
43,"I think 'lunch' is one of the funniest words in the world. Table booking available  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG, HASHTAG HASHTAG HASHTAG HASHTAG  URL",6,['others']
44,If you know you then know and if you don't this won't spoil anything. This bit put a big goofy grin on my face.  HASHTAG HASHTAG  URL,3,['joy']
45,HASHTAG still want to be teammates with HASHTAG and HASHTAG has pick the HASHTAG championship cup  URL,6,['others']
46,You're committing sin if you say Messi na human   HASHTAG HASHTAG HASHTAG,6,['others']
47,Former Blackburn and England star David Batty closes his chip shop after just three months because everybody hates his chips. HASHTAG,1,['disgust']
48,The damage is devastating but is anyone else as relieved as me that it wasn't more? I imagined it being far worse and I'm so impressed at how well the firefighters were able to salvage so much! I guess I'm just looking at the glass half full.  HASHTAG,6,['others']
49,so has maduro  been raped to death in the street yet or what?? HASHTAG,0,['anger']
50,"This HASHTAG watch how, in HASHTAG, we transform local tuktuks into mobile libraries that travel to remote communities to bring the joys &benefits of reading to children who don't have access to any books. USER USER   URL via USER",6,['others']
51,USER USER Last book recommendation? In honor of HASHTAG,6,['others']
52,"Special tasting night at USER: Meat & Greet food truck and HASHTAG, pluse delicious HASHTAG. Hard to beat that! Doors open at 5:00 pm!  URL",6,['others']
53,Please ... after today can everyone agree that HASHTAG is the GOAT  HASHTAG HASHTAG HASHTAG  HASHTAG,3,['joy']
54,HASHTAG minister resigns & blames HASHTAG. HASHTAG highlighted by HASHTAG sends HASHTAG interest soaring. HASHTAG push for national HASHTAG See how all the Press tell the story here  URL  URL,1,['disgust']
55,The Spanish Social Democrats won the election.  But can they form a government coalition? HASHTAG HASHTAG  URL,6,['others']
56,Ok but what the hell was Bran doing while Theon fought off all the wights??? Where did the ravens go?? HASHTAG,6,['others']
57,Of topic: soooo happy! Vamos USER!!! HASHTAG  URL,3,['joy']
58,"It's horrible, but at least it's not as horrible as it could have been. It looked as though we were going to lose the entire cathedral last night. I heard the three rose windows and the Pieta were saved. Kudos to the firefighters:  URL HASHTAG",4,['sadness']
59,"No fire could ever burn our faith in Christianity, and this is just one of the examples that nothing will impede or suppress our devotion and faith especially during Holy Week  HASHTAG  URL",6,['others']
60,"Maduro is finished. In the next few hours he will be either resigning, fleeing or being killed the same way as Gaddafi. There is no going back. HASHTAG will be free tonight!",3,['joy']
61,HASHTAG the military is killing a lot of Venezuelans  Stay Strong ,4,['sadness']
62,"“I assure you to leave off reading was like tearing myself away from the shelter of an old and solid friendship."" HASHTAG HASHTAG  URL",6,['others']
63,"It's HASHTAG! At TJS, we get excited about books (especially because it's very difficult to purchase multiple copies of reading books in HASHTAG). Pictured: Principal Dallen.  URL",3,['joy']
64,"If you want to win big championships, do not hire HASHTAG... HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG",6,['others']
65,"Brilliant game of football so far, Liverpool unlucky to be behind. Need more belief in the second half and the away goal will come HASHTAG HASHTAG",3,['joy']
66,Playing the numbers’ game in HASHTAG. HASHTAG won’t have a coalition deal in place until after local polls at the end of May. Mick O'Reilly writes on the crucial HASHTAG   URL,6,['others']
67,"Not massively hopeful after last night’s results. If USER get into bed with USER to govern, get ready to have your wallets raided. HASHTAG",1,['disgust']
68,The Anger coming on Kings Landing will be brutal.  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,6,['others']
69,USER The episode was awesome! I swear I felt like I was at this battle too. HASHTAG HASHTAG HASHTAG,3,['joy']
70,"History on fire. Big disaster for France, but it's not only about building. Mainly it's about losing nation pride. Because these old things remind, that previous generations lived there. Hope for the best!  HASHTAG HASHTAG HASHTAG  URL",4,['sadness']
71,". USER. USER Maybe next time U won't be so quick to cut off your quests. They weren't speculating, just stating facts.""Anger as France sees 10 Catholic churches attacked in ONE week"" URL HASHTAG",0,['anger']
72,"W/crisis in HASHTAG rapidly worsening, USER says it’s 1 of 3 potential areas where the HASHTAG Security Council could claw back some credibility if US & Russia come back to table more constructively. URL via USER",1,['disgust']
73,USER USER USER USER Actually US sanctions have pushed HASHTAG to bankruptcy. Corruption by HASHTAG  and his puppets destroyed Venezuela! HASHTAG HASHTAG HASHTAG,1,['disgust']
74,"World Book Day is a day to encourage reading, celebrated every year on 23rd April! Let us know your favourite book in the comments. URL HASHTAG HASHTAG HASHTAG  URL",6,['others']
75,"“There is no friend as loyal as a book.” -Ernest HemingwayOn this HASHTAG, let's celebrate reading & recognize the scope of books - a link…  URL",3,['joy']
76,"USER Not a Prophet, but a Puppet. The adults responsible for putting this vulnerable child on the global pedestal are sick individuals. It is blatant exploitation and abuse IMO. HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG",1,['disgust']
77,"My son, who has high functioning ASD, wanted to thank you USER for being an HASHTAG HASHTAG  URL HASHTAG HASHTAG HASHTAG (I think I’ve got something in my eye.....)  URL",3,['joy']
78,Can we just admire the character evolutions and backstories in HASHTAG,6,['others']
79,USER WE LOVE YOU! That was the best episode yet. HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,3,['joy']
80,LA LIGA CHAMPIONS AGAIN. WHO CAME THROUGH YET AGAIN; LEO. HASHTAG HASHTAG HASHTAG  URL,3,['joy']
81,Wow..... just wow!! Take a bow HASHTAG USER ,5,['surprise']
82,USER USER Save your money. It will be burned down again if they rebuild it. The west is lost.  HASHTAG HASHTAG HASHTAG HASHTAG,6,['others']
83,Such sad things are happening in the world rn  HASHTAG HASHTAG HASHTAG  URL,4,['sadness']
84,‘This is not a coup d'etat': A civic-military rebellion in HASHTAG  URL  URL,6,['others']
85,Sending so much love and light to HASHTAG  right now.,3,['joy']
86,Happy HASHTAG!  Magazines are still books right? Pick up your digital copy of HASHTAG here:  URL OR you can send us a DM and we'll mail you a paper copy! HASHTAG HASHTAG  URL,6,['others']
87,USER See what am saying. It’s over bro! Klopp got it all wrong tonight. HASHTAG HASHTAG,1,['disgust']
88,Educating for Extinction. (climate change as a catalyst for shifts in a failing system)  URL … HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,3,['joy']
89,Looks like German cities will start calling it HASHTAG after the city of HASHTAG has declared the state of climate emergency. Other cities will follow - I'm pretty sure. Thanks to HASHTAG  URL,6,['others']
90,HASHTAG was amazing! Just need to hide away from the HASHTAG spoilers until Wednesday!,3,['joy']
91,"“This fire is totally shocking and the damage it caused is absolutely heart-breaking, but this is not the end"": USER on the HASHTAG  URL HASHTAG HASHTAG",4,['sadness']
92,"You're so funny, Americayou're never there  HASHTAG",1,['disgust']
93,USER USER USER It would be a disgrace if USER USER did not give the alternative narrative a voice . This is blatant fomenting by US of violent regime change in HASHTAG. USER USER USER,1,['disgust']
94,Looking for a good  this HASHTAG? Here are our favorite April releases for inspiration:  URL  URL,6,['others']
95,"USER USER Thank you! Here's my latest, ""Without Condition,"" a dark novel about a serial killer navigating through her first relationship.  URL HASHTAG",6,['others']
96,"Suarez celebration against Liverpool, his former club, is the ugliest thing you could see tonight. HASHTAG",1,['disgust']
97,Suarez is still a beautiful beast... HASHTAG HASHTAG HASHTAG,6,['others']
98,"USER 3. Re HASHTAG:- A ""youth movement"" promoted by all elites from politics to the HASHTAG, from the HASHTAG to the HASHTAG AND you do not have one critical thought?- Are you still HASHTAG asking hard questions or just propagandists selling the will of the ruling elite?",1,['disgust']
99,This looks like us germans going crazy again against a movement that is too fast being judged over - meaning and confirming the climatic change all over the world by this. HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,6,['others']
100,Arya showing up in King’s Landing to kill Cersei HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,6,['others']
101,USER USER Both miss the key point. It is the ugly remnants of HASHTAG on display in HASHTAG,6,['others']
102,Photos: Inside Notre Dame After Devastating Fire HASHTAG  URL  URL,4,['sadness']
103,I stand in solidarity with the HASHTAG and the HASHTAG at large and express my sadness and grief at the burning of the HASHTAG . HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,4,['sadness']
104,***** Our God is angry! Wait till he deals with you pieces of human low life garbage!!!! Running over good people with your evil made power!! I'm angry as hell!! Can only imagine how God feels!!! HASHTAG HASHTAG HASHTAG dictator cockroach!!!  URL,0,['anger']
105,USER Look. The people of HASHTAG DID take to the streets. They REJECT HASHTAG & your HASHTAG coup attempt HASHTAG  URL,3,['joy']
106,"USER HASHTAG Me with my recent read. Awesome book.. loved the way USER narrate the story. Some of my believes got shaken, Got explanation of some of the questions in my mind. Truly one of my favorite book. USER  USER  USER  URL",6,['others']
107,OMG that was a beautiful goal!! HASHTAG HASHTAG HASHTAG,3,['joy']
108,Happy HASHTAG. Which book are you celebrating with this year?  URL,3,['joy']
109,Tonight the winner will be: HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,6,['others']
110,HASHTAG HASHTAG HASHTAG A mass delusion. Children living in terror of 'climate breakdown' when the data shows the EXACT OPPOSITE of what they are being told by their manipulators.  URL,1,['disgust']
111,I used to be that person who got upset about spoiler posts but then I just learned to keep off social media until I watched widely popular tv shows/movies  HASHTAG HASHTAG,6,['others']
112,The night king has been defeated before by the same ancestors of the same family that killed him If that doesn't tell you that he's never been the ultimate threat I don't know what else would HASHTAG,6,['others']
113,Let's go on a trip down memory lane this Saturday as we take a look at the father-son duos to have played in USER Which one turned out for your team? HASHTAG HASHTAG URL,6,['others']
114,Assessing potential risk to St. Peter's after HASHTAG  URL,6,['others']
115,I`m waiting for the first hateful tweets suggesting it was  HASHTAG that caused the HASHTAG  or some such similar fantasy  URL,1,['disgust']
116,USER Also think it's about US having a much stronger presence in the region.  If Guaidó gets succeeds the US will use HASHTAG to have a strong military base.,6,['others']
117,Socialism coming to its inevitable outcome in HASHTAG today: Government killing its own starving citizens.  URL,6,['others']
118,"Happy HASHTAG! Books are your best friends, stop by USER to celebrate and check out the new book shelf to find a friend!  URL",3,['joy']
119,"Dear Americans,THIS READ!! URL ACT!! Call YOUR Representative and Senators (3 calls — easy!)THANK!! USER HASHTAG in HASHTAG HASHTAG  URL",6,['others']
120,"'Dreams to surviveDreams make a wish come true, ooh.. Keep your dreams alive.. Dream, dream on.. Your dream will come alive!! Come on dream onCome on dream onCome on dream on, boyYour dream will come alive!!' HASHTAG HASHTAG HASHTAG",3,['joy']
121,Toying with ideas is great. Toying with sentiments demeaning. HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,6,['others']
122,Great clip from last night's question time HASHTAG HASHTAG USER  URL,3,['joy']
123,"USER The Manufacturing of HASHTAG- Media accompaniment, media attention ordered from the beginning (8/20/2018).- Placement of the advertising medium HASHTAG in major Newspapers!- at Swedish and international conferences- PR for profitable share issue URL",6,['others']
124,HASHTAG HASHTAG HASHTAG HASHTAG How will Game of Thrones end? Please click. URL,6,['others']
125,What’s that ugly thing in the darkness of the HASHTAG episode? Oh wait false alarm it’s just my ugly ass reflection,1,['disgust']
126,Episode 83 - Got Money For War But Can't Feed The Poor HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,1,['disgust']
127,Feeling weird after revisiting this photo I took 6 years ago. They were celebrating its 850th when I was an exchange student ⁦⁦USER⁩ HASHTAG  URL,4,['sadness']
128,"I apologize to HASHTAG. I wish that we, Americans, had more voice in our country & could rein in our Imperialist government & stop them from destroying other countries through coups for oil, land, & anti-communism. HASHTAG HASHTAG  URL",6,['others']
129,"Heavy presence of state security in HASHTAG, HASHTAG. Location unknown. Can someone geolocate?  URL",6,['others']
130,Currently reading up on Classical Literary Criticism. HASHTAG,6,['others']
131,Current read: Mitch Albom's the next person you meet in heaven  HASHTAG,2,['fear']
132,Have to score when you’re on top in big games... frustrating... HASHTAG HASHTAG HASHTAG,0,['anger']
133,HASHTAG agrees to explore fossil fuel divestment plan  URL HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,3,['joy']
134,"Before Mielitta was attacked by bees, she was the loneliest girl alive. Afterwards, she had 50,000 winged reasons to fight for Nature against the most powerful men in her world – the mages. HASHTAG but not unlike USER  URL HASHTAG HASHTAG  URL",6,['others']
135,"Tonight, it's a double-header on USER as we're talking all things HASHTAG in our spoiler review as well as a new episode of Thrones Zone talking THAT episode of HASHTAG.  URL",6,['others']
136,Game Of Thrones Season 8 Episode 3: 22 Easter Eggs And References You Probably Missed USER USER HASHTAG HASHTAG URL,6,['others']
137,Especially if you consider the fact that the Catholic Church is rich AF. HASHTAG HASHTAG,6,['others']
138,The latest Desde TwitterLandia!  URL Thanks to USER USER USER HASHTAG HASHTAG,6,['others']
139,"I remember the December day of  1981 when  communist tanks crashed the HASHTAG movement in HASHTAG. Today  Poland is enjoying HASHTAG. That's why I am  together with people of HASHTAG  HASHTAG, again HASHTAG HASHTAG of HASHTAG. HASHTAG with HASHTAG  URL",3,['joy']
140,In this hustle bustle and busy scenario HASHTAG could be the best friends of a lonely person. HASHTAG   URL,6,['others']
141,"Happy HASHTAG! Read a book, send a book, hug a book.  URL",3,['joy']
142,"Focus | On World Book Day, Sharing Some Of Our Favourite Books On Poetry  HASHTAG  HASHTAG  URL",3,['joy']
143,USER Well well. Looks like using little girls with pigtails for political purposes has some historical precedent. HASHTAG,6,['others']
144,"Don't be a fucking idiot! The world needs your support, udumass! Don't be a fucking idiot! The world needs your support, udumass! URL HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG",0,['anger']
145,I once hated him then loved but at the end I cried for him. HASHTAG HASHTAG  URL,4,['sadness']
146,The only survivor I care about! HASHTAG HASHTAG  URL,3,['joy']
147,"View from my grandad’s house HASHTAG . So terrifying, look at all that new empty space  URL",6,['others']
148,Have I missed the part of life where everyone needs insurance except churches? HASHTAG,1,['disgust']
149,Remember the citizenryof HASHTAG have no armed self defense against their own government. HASHTAG,2,['fear']
150,"Happy HASHTAG! HASHTAG Did you know, Reading engraves more and more impressions on your cerebrum, thereby makes your brain much active and it is a brain exercise too! Reading books helps in concentration & increases imagination with ease. HASHTAG  a HASHTAG  for a change!",3,['joy']
151,"Wishing a happy HASHTAG to all our bookworm Ghosties out there. Currently, we're polishing our knowledge on HASHTAG with USER, but we'd love to hear what HASHTAG you recommend. Let us know.   URL",6,['others']
152,Had to be Suárez! Great cross to him. HASHTAG HASHTAG,5,['surprise']
153,Don't want either of these teams to go through. Barca are just playacting and rolling over like a bullet has hit them. Ajax vs Spurs would have been an ideal final HASHTAG  HASHTAG,1,['disgust']
154,HASHTAG - HASHTAG Results via USER (88.43% in): Worst result ever for the USER (HASHTAG) led by USER. This is not good news for HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,6,['others']
155,"USER USER HASHTAG's army is on the march again tomorrow, I hope they can keep the profile up. Thank God for kids HASHTAG",3,['joy']
156,"I expect to see Sansa and co emptying their own chamber pots and cooking breakfast in the next episode, since HASHTAG loves ‘realism’ (except when you fall off a dragon and have major plot armor) and everyone at Winterfell without a name is dead. HASHTAG",6,['others']
157,"Things I'm sick of hearing about in the last four days: HASHTAG and HASHTAG. If both of those can go ahead and go away, that'd be great. Now I understand why people post spoilers.",0,['anger']
158,"Something both terrible and beautiful seems captured here. Devastation, Loss, Majesty, Grandeur, Loftiness, Hummanity, Perserverance, Rebirth, Grace. HASHTAG HASHTAG HASHTAG HASHTAG  URL",4,['sadness']
159,"The media reporting of HASHTAG HASHTAG     HASHTAG has been awful, especially by Rupert Murdoch’s  URL . Riddled with mistakes and sensational exaggeration, the stories were a disgrace to journalism. What a travesty!!!!!",1,['disgust']
160,Why does USER have such a boner for war in HASHTAG?,1,['disgust']
161,Hate to sound like a broken record again... but did I not warn you that we were going to have problems with HASHTAG HASHTAG HASHTAG several years ago. Repent HASHTAG!  URL,6,['others']
162,"HASHTAG Many many thanks to all those tablets and ebook reader which made people carry thousands of books in their pocket. Still, a hardcover Book, smell of pages, coffee stains on the book beats ebooks.",6,['others']
163,Reminding me of Madrid’s run in last few years. Getting the job done despite not being very convincing at all. But when you’ve got that quality at the top end!!!?? HASHTAG HASHTAG,3,['joy']
164,Come back on 2nd leg please... HASHTAG USER with USER・・・Not our night in Barcelona. Second leg back at Anfield next week  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG l  URL,6,['others']
165,Should be a good game!! Let's Go USER  HASHTAG,3,['joy']
166,Key inspirational figures such as HASHTAG and groups such as HASHTAG are helping us with our climate action suggestions,3,['joy']
167,No one killed the Night King... with a dagger from the Three Eyed Raven... just like Bran said it was supposed to be. HASHTAG HASHTAG HASHTAG HASHTAG,6,['others']
168,I think HASHTAG is pretty neat,3,['joy']
169,Champions of la liga 2018-2019!!! nervy finish HASHTAG HASHTAG HASHTAG  URL,1,['disgust']
170,You are the best  HASHTAG and good luck HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,6,['others']
171,Samwell Tarly is a liability. They should have just let him hide in the crypt! HASHTAG HASHTAG,1,['disgust']
172,OMG. I’m not going to spoil anything but HASHTAG was epic! They could have made it a bit less dark and turned down the haze factor but I guess that added to the tension. Bloody hell - Wow!,3,['joy']
173,Levante has been more dangerous after conceding... HASHTAG HASHTAG,6,['others']
174,Isn't it irresponsible journalism to make a claim that it was not arson or terrorism before they inspect the siteFrom what I heard the renovation workers stopped hours before the fire started! That means it still could be arson or something worse HASHTAG,6,['others']
175,"As USER says HASHTAG stopped USER from leaving HASHTAG today,  Russia's Foreign Ministry says conflict needs to be resolved w/o ""destructive interference from outside"" & urges them to ""settle internal disputes by political, civilised means"" USER  HASHTAG  URL",5,['surprise']
176,"A book and a coffee, who else need more? HASHTAG",6,['others']
177,USER USER NOW: The HASHTAG failed in HASHTAG!!. Once again the people are pronouncing against the opponent USER and the empire in a new attempt to destabilize the country.,0,['anger']
178,"The climate change should be a concern for everyone, not just some countries HASHTAG",6,['others']
179,Can't wait to watch the match HASHTAG,6,['others']
180,“There is no friend as loyal as a book.” ~ Ernest Hemingway  HASHTAG  URL,6,['others']
181,A HASHTAG can change how we look at the world! Happy HASHTAG to all the readers out there.  URL,3,['joy']
182,"USER USER Yep it's those highly distasteful nouveau privileged. The ones often touchy feely about things like wildlife, ethnics and the planet. Toby's father always told him that wildlife belongs on the wall and ethnics below stairs! HASHTAG HASHTAG HASHTAG HASHTAG",1,['disgust']
183,"Thank you, HASHTAG of HASHTAG for the beauty you have shared with the world for so many years.   Our hearts go out to you for the HASHTAG  URL",3,['joy']
184,USER hey great about donating to HASHTAG how about black churches right here in the US.,0,['anger']
185,USER USER Hey HASHTAG are you feeling like you're a looser yet HASHTAG is not the president of HASHTAG so leave their HASHTAG alone and do your job in HASHTAG HASHTAG,0,['anger']
186,The bestselling books of HASHTAG’s HASHTAG essentials series are one of our favorite reminders that life is really simple! Happy HASHTAG!,6,['others']
187,"Happy HASHTAG and thank you to USER Albright, USER for the inspiration. HASHTAG  URL",6,['others']
188,"Let us promise ourselves to inculcate the habit of reading books in our children because it is one way to shape their future in the best way possible…. With lots of love, from Team HASHTAG Happy HASHTAG URL  URL",3,['joy']
189,"USER Ans 1) ""One Hundred Years of Solitude ""Frnds USER USER USER USER USER USER USER USER USER USER Join with USER and win exciting rewards from HASHTAG. HASHTAG HASHTAG  URL",6,['others']
190,"USER Many thanks Richard, for the kind mention in your USER piece today about rail travel and HASHTAG . Very kind.",3,['joy']
191,"USER USER It's a clique, I know, but ""at first they ignore you. Then Attack you.... Then you win!"" WE'LL ALL WIN, saving even those who are so morally indefensible as to oppose acting on what is GLARINGLY OBVIOUS. HASHTAG HASHTAG HASHTAG we love you. ",6,['others']
192,The night king was created when a girl stabbed him with a dagger under a weirwood tree and died when a girl stabbed him with a dagger under a weirwood tree HASHTAG,6,['others']
193,"The long-awaited Battle of Winterfell has finally happened. The body count may not be as high as some thought, but these HASHTAG deaths made a major impact.  URL",6,['others']
194,Here are 3 things you may have missed on HASHTAG this week! HASHTAG HASHTAG HASHTAG  URL,6,['others']
195,Seems we just invaded HASHTAG May g_d forgive the greedy  HASHTAG,1,['disgust']
196,Retweet if you can relate just laying there in bed in the mornings not wanting to get up or even reach 2 feet to turn of your alarm clock! HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,6,['others']
197,Via: Guy Elster HASHTAG threatens with full embargo on HASHTAG if it does not withdraw its soldiers from HASHTAG HASHTAG  URL,6,['others']
198,Happy HASHTAG! What’s the best book you’ve read as a HASHTAG?,3,['joy']
199,"This HASHTAG, we bring you a list of dark and twisted tales that will most definitely keep you hooked!  URL",6,['others']
200,HASHTAG the boys in between are perfectly happy spending an afternoon or evening at the Library or Bookstore  URL,3,['joy']
201,Dreadful but predictable cheating by Barcelona - disgraceful from Messi. HASHTAG,6,['others']
202,"This bloody HASHTAG telling us to forget about HASHTAG / HASHTAG issues and concentrate on climate change. Oh piss off and speak to a country that really pollutes the atmosphere, go live in HASHTAG and witness their mess, then come back and preach how bad the UK is.",6,['others']
203,I guess we’ll have to see who is listed in the opening credits of next week’s episode of HASHTAG to see for sure who survived HASHTAG,5,['surprise']
204,"HASHTAG HASHTAG laying in bed sobbing and my anxiety has not recovered yet, I'm gonna be a mess at work tomorrow",4,['sadness']
205,"... specially when it comes to the domestic competitions. How the fuck can one not be envious of this success. Totally deserve all these titles and praises. See ya next season, hopefully with a better squad and determination. Enjoy! HASHTAG  HASHTAG",6,['others']
206,Such a sad day for architects and Catholics across the world. An inspiring piece of Gothic Architecture gone in a matter of minutes. One of my favourite buildings out there! HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL,4,['sadness']
207,"Doesn't feel right to mourn because it's only a structure,  but it feels like we all lost something yesterday and although it was,  ""only a structure"" it hurts... like everyone just got punched in the gut.  HASHTAG HASHTAG HASHTAG HASHTAG  URL",4,['sadness']
